BOM,SMH,WZN
27.4, 28.1, 27.3
27.4, 27.3, 27.3
27.4, 27.3, 27.3
27.4, 29.3, 27.3
27.4, 27.3, 27.3
27.4, 27.3, 27.3
27.4, 27.3, 27.3
27.4, 27.3, 27.3
27.4, 27.3, 27.3
27.4, 27.3, 27.3
27.4, 27.3, 27.3
27.4, 27.3, 27.3
27.4, 27.3, 27.3
27.4, 27.3, 27.3
23.2,23.5,23.4
23.1,22.4,23.3
23.1,22.4,23.3
23.1,22.4,23.3
23.1,22.6,23.3
23.3,23.3,23.1
23.0,23.3,23.5
24.0,23.8,24.0
23.4,24.8,24.8
23.5,23.5,23.5
23.5,23.2,23.2
22.7,22.7,23.4
21.2,21.3,21.5
20.6,20.7,20.7
20.2,20.3,20.2
20.6,20.7,20.3
20.9,21.2,21.2
21.0,20.8,20.8
21.1,21.1,21.0
20.9,21.1,21.1
20.7,20.8,20.8
20.6,20.4,20.6
20.4,20.6,20.6
20.4,20.4,20.4
20.4,20.3,20.3
21.4,21.1,21.1
23.0,23.0,21.9
23.3,23.5,23.3
24.4,24.2,24.4
23.5,23.5,23.5
23.5,23.7,23.7
23.7,24.6,23.8
24.1,24.8,23.9
24.4,24.3,24.5
24.1,23.5,23.7
23.2,23.6,23.6
22.7,23.1,23.1
22.0,22.3,22.0
21.2,21.2,21.2
21.1,21.0,21.2
21.3,21.3,21.3
21.3,21.4,21.4
21.1,21.2,21.3
21.1,20.8,20.8
19.6,19.9,19.7
19.1,19.3,19.2
19.0,19.1,19.0
19.0,18.9,19.0
19.4,19.1,19.1
19.2,19.3,19.4
19.4,19.1,19.1
19.9,20.0,20.1
20.9,20.3,20.4
21.4,21.1,21.1
23.3,22.7,22.7
22.9,22.9,22.9
22.6,22.7,22.5
23.3,23.1,23.1
21.8,22.0,22.0
21.8,22.0,22.0
21.0,20.9,20.9
21.3,21.2,21.3
22.2,21.9,21.6
22.4,22.4,22.4
22.3,22.3,22.3
22.1,22.3,22.3
22.1,22.0,22.0
21.9,22.2,22.2
21.7,21.5,21.7
22.2,22.2,22.2
21.9,21.9,22.0
20.8,20.8,20.8
20.4,20.4,20.4
20.8,20.6,20.6
22.0,21.1,21.4
22.8,22.6,22.6
22.3,22.9,22.3
23.5,23.1,23.1
24.2,24.4,24.4
24.2,24.3,24.2
25.0,25.1,24.9
24.8,24.8,24.9
24.2,24.3,24.3
23.9,23.7,24.0
23.2,23.5,23.5
22.6,22.6,22.6
22.1,22.3,22.4
22.2,22.2,22.2
22.1,22.1,22.1
21.9,22.0,21.9
21.5,21.8,21.8
21.0,21.0,21.3
20.7,20.9,20.9
20.5,20.7,20.5
20.0,20.1,20.2
19.5,19.7,19.7
19.7,19.6,19.6
20.1,19.8,20.1
22.9,21.5,20.9
24.1,24.2,24.2
25.9,26.1,26.1
26.2,26.1,26.1
25.0,25.6,25.6
26.0,25.9,25.4
26.4,26.1,26.1
